symbol,date,open,high,low,close,volume
AAPL,2024-03-22 13:56:00,172.652,172.67,172.56,172.56,59988
AAPL,2024-03-22 13:55:00,172.596,172.67,172.57,172.655,82549
AAPL,2024-03-22 13:54:00,172.46,172.6,172.45,172.595,94378
AAPL,2024-03-22 13:53:00,172.464,172.48,172.46,172.465,40115
AAPL,2024-03-22 13:52:00,172.465,172.476,172.445,172.47,75743
AAPL,2024-03-22 13:51:00,172.455,172.48,172.454,172.465,74874
AAPL,2024-03-22 13:50:00,172.45,172.46,172.42,172.45,49225
AAPL,2024-03-22 13:49:00,172.46,172.47,172.43,172.447,77272
AAPL,2024-03-22 13:48:00,172.461,172.47,172.45,172.45,43859
AAPL,2024-03-22 13:47:00,172.394,172.472,172.37,172.461,46693
AAPL,2024-03-22 13:46:00,172.445,172.45,172.38,172.394,41453
AAPL,2024-03-22 13:45:00,172.4,172.47,172.4,172.44,73903
AAPL,2024-03-22 13:44:00,172.376,172.435,172.36,172.396,52379
AAPL,2024-03-22 13:43:00,172.365,172.427,172.36,172.36,89302
AAPL,2024-03-22 13:42:00,172.39,172.4,172.36,172.36,58620
AAPL,2024-03-22 13:41:00,172.426,172.426,172.36,172.39,76062
AAPL,2024-03-22 13:40:00,172.431,172.46,172.395,172.425,73443
AAPL,2024-03-22 13:39:00,172.492,172.492,172.431,172.435,53253
AAPL,2024-03-22 13:38:00,172.49,172.5,172.46,172.49,51055
AAPL,2024-03-22 13:37:00,172.5,172.51,172.45,172.49,36589
AAPL,2024-03-22 13:36:00,172.485,172.5,172.43,172.5,73468
AAPL,2024-03-22 13:35:00,172.526,172.53,172.47,172.485,92026
AAPL,2024-03-22 13:34:00,172.53,172.54,172.52,172.524,54123
AAPL,2024-03-22 13:33:00,172.615,172.62,172.52,172.53,44787
AAPL,2024-03-22 13:32:00,172.655,172.66,172.595,172.615,84869
AAPL,2024-03-22 13:31:00,172.635,172.67,172.63,172.66,59186
AAPL,2024-03-22 13:30:00,172.62,172.66,172.61,172.635,47229
AAPL,2024-03-22 13:29:00,172.54,172.614,172.52,172.614,43076
AAPL,2024-03-22 13:28:00,172.566,172.62,170.901,172.545,88833
AAPL,2024-03-22 13:27:00,172.595,172.61,172.56,172.57,47557
AAPL,2024-03-22 13:26:00,172.53,172.62,172.53,172.596,71351
AAPL,2024-03-22 13:25:00,172.57,172.576,172.521,172.525,72058
AAPL,2024-03-22 13:24:00,172.596,172.61,172.56,172.57,43639
AAPL,2024-03-22 13:23:00,172.65,172.685,172.59,172.59,91272
AAPL,2024-03-22 13:22:00,172.645,172.65,172.58,172.641,61573
AAPL,2024-03-22 13:21:00,172.664,172.68,172.625,172.645,101292
AAPL,2024-03-22 13:20:00,172.74,172.77,172.66,172.665,100023
AAPL,2024-03-22 13:19:00,172.798,172.81,172.695,172.74,64045
AAPL,2024-03-22 13:18:00,172.74,172.819,172.68,172.79,71658
AAPL,2024-03-22 13:17:00,172.76,172.769,172.73,172.735,49577
AAPL,2024-03-22 13:16:00,172.76,172.77,172.72,172.76,56816
AAPL,2024-03-22 13:15:00,172.785,172.814,172.72,172.76,89390
AAPL,2024-03-22 13:14:00,172.89,172.9,172.78,172.786,66182
AAPL,2024-03-22 13:13:00,172.89,172.91,172.85,172.89,67938
AAPL,2024-03-22 13:12:00,172.902,172.93,172.82,172.9,91307
AAPL,2024-03-22 13:11:00,172.835,172.908,172.82,172.909,71897
AAPL,2024-03-22 13:10:00,172.879,172.9,172.793,172.832,75663
AAPL,2024-03-22 13:09:00,172.825,172.91,172.79,172.875,100039
AAPL,2024-03-22 13:08:00,172.869,172.87,172.81,172.825,79686
AAPL,2024-03-22 13:07:00,172.91,172.938,172.81,172.866,131079
AAPL,2024-03-22 13:06:00,172.865,172.94,172.85,172.915,125385
AAPL,2024-03-22 13:05:00,172.78,172.87,172.775,172.865,144713
AAPL,2024-03-22 13:04:00,172.72,172.775,172.72,172.775,122120
AAPL,2024-03-22 13:03:00,172.67,172.74,172.67,172.725,71124
AAPL,2024-03-22 13:02:00,172.73,172.735,172.63,172.67,64290
AAPL,2024-03-22 13:01:00,172.665,172.743,172.65,172.729,133828
AAPL,2024-03-22 13:00:00,172.64,172.68,172.64,172.66,57929
AAPL,2024-03-22 12:59:00,172.632,172.655,172.61,172.65,66956
AAPL,2024-03-22 12:58:00,172.555,172.665,172.555,172.64,86521
AAPL,2024-03-22 12:57:00,172.55,172.579,172.54,172.557,47247
AAPL,2024-03-22 12:56:00,172.535,172.59,172.51,172.54,82437
AAPL,2024-03-22 12:55:00,172.64,172.66,172.52,172.539,87115
AAPL,2024-03-22 12:54:00,172.61,172.66,172.6,172.64,102111
AAPL,2024-03-22 12:53:00,172.57,172.615,172.56,172.607,54180
AAPL,2024-03-22 12:52:00,172.595,172.595,172.55,172.565,46344
AAPL,2024-03-22 12:51:00,172.585,172.63,172.55,172.595,70393
AAPL,2024-03-22 12:50:00,172.53,172.62,172.528,172.58,71674
AAPL,2024-03-22 12:49:00,172.51,172.59,172.5,172.529,85227
AAPL,2024-03-22 12:48:00,172.515,172.58,172.49,172.505,77615
AAPL,2024-03-22 12:47:00,172.385,172.54,172.38,172.518,110801
AAPL,2024-03-22 12:46:00,172.3,172.41,172.3,172.385,87205
AAPL,2024-03-22 12:45:00,172.24,172.37,172.23,172.3,79178
AAPL,2024-03-22 12:44:00,172.17,172.365,172.165,172.245,152106
AAPL,2024-03-22 12:43:00,172.155,172.171,172.145,172.17,77404
AAPL,2024-03-22 12:42:00,172.149,172.175,172.149,172.155,87806
AAPL,2024-03-22 12:41:00,172.125,172.15,172.11,172.145,30285
AAPL,2024-03-22 12:40:00,172.115,172.155,172.11,172.125,63268
AAPL,2024-03-22 12:39:00,172.17,172.17,172.11,172.11,71796
AAPL,2024-03-22 12:38:00,172.155,172.173,172.12,172.168,70988
AAPL,2024-03-22 12:37:00,172.162,172.17,172.121,172.155,80798
AAPL,2024-03-22 12:36:00,172.13,172.17,172.08,172.155,106186
AAPL,2024-03-22 12:35:00,172.22,172.233,172.14,172.141,209350
