,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
69,000000000000000000002e193ed60b564d9b1191fa5e40260fa0771836d9099a,536895488,386216622,23529015,3474372099,1516858,806913,True,806913,3992965
70,00000000000000000000d94ca21a52f26c56f3a2f22a2690d476d4a6aa177d21,832987136,386216622,17767592,2554624074,1864811,806912,True,806912,3992600
71,0000000000000000000384ee7b069a9e54da99203869627dc98ebb813ec1ffd9,536928256,386216622,23720377,2735020941,1613760,806911,True,806911,3993159
72,00000000000000000003d49499d106def660ad6ff1fe305fd7e3e38760b14ad4,547356672,386216622,18416401,2604765000,1965678,806910,True,806910,3993591
73,00000000000000000000f3793fa67c230eb365262429337be082ad6ed8c05a0f,603979776,386216622,16197737,3076886985,1918238,806909,True,806909,3993551
74,00000000000000000004e6e4e2d345652bbe50da66348bdfc53f44cde7e101ef,536895488,386216622,15914020,3252499243,1879375,806908,True,806908,3992737
75,00000000000000000003cf3b864bb34667d9d72849a8a6d561ae11cdc6181d6a,536879104,386216622,17946875,1840737918,1845845,806907,True,806907,3992873
76,00000000000000000000367e0260357f931f2c39ed1a6c681b4081e1eddb0673,537321472,386216622,17408487,2141283199,1502512,806906,True,806906,3993448
77,00000000000000000000e75a636f5142fc702e1969c89c38780bcb481244ee94,630439936,386216622,17511656,3707532816,1991879,806905,True,806905,3993458
78,000000000000000000040efe2476d40194db33171f2a539e3f17d1f6af0b1aab,817414144,386216622,16032188,3184309623,1677107,806904,True,806904,3993047
79,000000000000000000026b737ca4c7c74b4dde8529cb71a5221639b293057d06,811008000,386216622,18129675,1702777876,1951198,806903,True,806903,3993238
80,00000000000000000000b6a873892d5f9f76b8fa67df2a291de914a4b23124bc,536895488,386216622,18295249,841322236,1920196,806902,True,806902,3992728
81,000000000000000000034373e8c19e9128d04eaf901b667679f0964904f87ae7,545259520,386216622,18001512,815687996,1934593,806901,True,806901,3992833
82,00000000000000000004a91f5318021267b7b73312dee5e371073d6005645ff4,606134272,386216622,21197952,3899450930,1736511,806900,True,806900,3992553
83,0000000000000000000344b5e56035ae818c62669e74177249adfa6673870b07,818184192,386216622,25652625,2353483817,1733775,806899,True,806899,3997989
84,000000000000000000023240e0fb2a308af6edcc3a4c612d6dfefdf402833097,857219072,386216622,19602740,4253525572,1553199,806898,True,806898,3992883
85,000000000000000000028d03cc98c2ca64df19e53a5988ad88516da5f62d0399,755867648,386216622,33288099,619672693,1416636,806897,True,806897,3992832
86,0000000000000000000162fdbd8acd5d8f7796e34fc22ceee15e6c474f1b8e77,551550976,386216622,19722124,2841627922,1693316,806896,True,806896,3993191
87,000000000000000000032014bc784a73acc47c83f0dd829c77d9a73d476f33ee,636805120,386216622,20949757,2367537441,1719569,806895,True,806895,3992762
